Timestamp,Please state your gender,Age band you fall into?,Your highest education level?,Which of the following best describes your current work situation?,Which of these best describe the community you live in?,Marital Status,"how many children under the age of 18 live with you, in your household?","how many  people aged 18 and over live with you, in your household. please do not count yourself ( Add if necessary: including your partner)?",Who is responsible for day-to-day monetary decisions in your household?,Does your household have a budget?,Which of the following statements best describe your pattern for choosing a financial product/service,Which source of financial information influences you the most?,"Before I buy something, I carefully consider whether I can afford it",I tend to live for today and let tomorrow take care of itself,I find it more satisfying to spend money than to save it for the long term,I pay my bills on time,I am prepared to risk some of my own money when saving or making an investment,I keep a close personal watch on my financial affairs,I set a long term financial goals and strive to achieve them,Money is there to be spent,"In the last 12 months, did your income seem not to cover your living costs?","If yes, how did you manage to make ends meet?","In the past 12 months, have you been saving money in the following forms?","If you lost your main source of income, how long could you do without borrowing money?",Which bracket does your household income fall into?,"Which form of ""more than one"" source of income you have?","Considering all the sources of income, is your household income regular and reliable?",Your retirement is covered under which of the following?,What is your view about saving money?,Do you have any such habits?,"Suppose you put ₹10,000 into a <no fee> savings account with a guaranteed interest of 2% per year. You don't make any further payments into this account and you don't withdraw any money. How much would be in the account at the end of the first year, once the interest payment is made?"
2019/07/02 2:28:30 PM GMT+5:30,Female,30-39,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,No,I consider several products from different companies before making decision,Product specific information found on the net,3,3,2,1,5,1,5,1,No,,Building up balance of money in bank account,Less than 3 months,"above ₹1,00,000 monthly",Rental income,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",Drinking,"₹ 10,200.00"
2019/07/02 2:30:59 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,No,I consider several products from different companies before making decision,My own previous experience,2,4,3,1,2,2,3,2,No,Prefer not to say,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Drinking;Smoking,"₹ 10,200.00"
2019/07/02 2:58:11 PM GMT+5:30,Female,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,2,1,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,3,3,2,1,3,1,3,3,No,,,Don't know,"above ₹1,00,000 monthly",Working spouse,Yes,Others,A responsibility for coming generations,None of the above,Don't know
2019/07/02 3:57:02 PM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,1,4,1,1,5,3,3,Yes,others,Giving money to family on your behalf,More than 6 months,"₹10,000-₹50,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 4:10:19 PM GMT+5:30,Male,30-39,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,0,2,You and another family member,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,2,3,3,1,3,2,2,3,Yes,Prefer not to say,Prefer not to say,Prefer not to say,"₹50,000-₹1,00,000 monthly",Not applicable,Prefer not to answer,None,A means to make ends meet,None of the above,Don't know
2019/07/02 4:46:41 PM GMT+5:30,Female,20-29,Ph.D/Post Doctorate,Student,A city ( 100 000 people to about 1 000 000 people),Married,1,6,Your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,3,4,1,1,1,1,4,No,Prefer not to say,Building up balance of money in bank account,Don't know,"₹50,000-₹1,00,000 monthly",Rental income,Yes,None,A responsibility for coming generations,None of the above,"₹ 10,220.00"
2019/07/02 4:56:48 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,5,5,1,3,1,1,3,No,Creating resources by working overtime,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"₹50,000-₹1,00,000 monthly",Side business,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 5:03:15 PM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,1,2,You and your partner,Yes,I consider several products from different companies before making decision,TV/Radio advertisements,2,5,4,1,2,2,3,3,Not applicable,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 5:09:51 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,None 5,5,You and your partner,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,5,2,1,2,4,4,2,Yes,Creating resources by working overtime,Building up balance of money in bank account,Less than a week,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,Don't know
2019/07/02 5:11:07 PM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,Looking for job,"A town ( 15,000 to about 100 000 people)",Separated/divorced,One ,4,You and another family member,Don't know,I consider several products from different companies before making decision,My own previous experience,3,2,3,1,1,1,2,3,Yes,Borrowing money from known contacts/resources,Have not been actively saving,More than 6 months,"₹50,000-₹1,00,000 monthly",Parental support,Don't know,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,Don't know
2019/07/02 5:18:40 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,Nil,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,3,1,3,3,No,Don't know,Buying livestock/property,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 5:42:23 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Single,Zero,4,You and another family member,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,1,2,1,2,2,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 6:10:30 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,2,1,You and your partner,No,I consider several products from different companies before making decision,Product specific information found on the net,1,4,3,1,3,2,2,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/07/02 6:14:04 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,3,4,1,2,1,2,3,No,Don't know,Building up balance of money in bank account,Less than 3 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 6:15:27 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Private/Corporate sector),"A town ( 15,000 to about 100 000 people)",Married,0,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,5,1,1,1,3,3,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,No,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Drinking;Smoking,"₹ 10,200.00"
2019/07/02 6:17:42 PM GMT+5:30,Male,20-29,Graduation,Looking for job,A city ( 100 000 people to about 1 000 000 people),Single,2,9,Another member of family or[family members],No,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,4,4,1,3,1,2,2,Not applicable,,Giving money to family on your behalf,Don't know,"₹10,000-₹50,000 monthly",Parental support,Don't know,None,A means to make ends meet,Others,"₹ 10,200.00"
2019/07/02 6:20:57 PM GMT+5:30,Female,20-29,Post Graduation,Homemaker,A city ( 100 000 people to about 1 000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,others,1,5,5,1,1,1,1,5,No,,Building up balance of money in bank account,Less than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 6:30:35 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Single,1,4,You and another family member,No,I consider several products from different companies before making decision,My own previous experience,1,5,5,1,1,1,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),A means to make ends meet,Drinking;None of the above,"₹ 10,200.00"
2019/07/02 6:35:59 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,0,1,You and your partner,No,I consider several products from different companies before making decision,My own previous experience,1,2,2,4,2,3,3,4,No,Borrowing money from known contacts/resources,Building up balance of money in bank account,Less than a week,"₹10,000-₹50,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),A means to make ends meet,None of the above,"₹ 10,000.00"
2019/07/02 6:38:45 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,0,3,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,4,3,3,5,4,4,4,4,No,,Building up balance of money in bank account,Less than 3 months,"₹50,000-₹1,00,000 monthly",Not applicable,Don't know,Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 6:41:33 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,4,,You,No,Prefer not to answer,General advice from friends/relatives/employers,3,3,3,3,4,3,3,3,No,Existing resources like FDs or selling something you own,Giving money to family on your behalf,Less than a month,"₹10,000-₹50,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 6:45:32 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),"A town ( 15,000 to about 100 000 people)",Married,0,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,1,2,2,1,1,1,5,Yes,others,Giving money to family on your behalf,Less than a month,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,Don't know
2019/07/02 6:52:02 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,4,7,You and another family member,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,5,4,4,1,2,1,1,2,Yes,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,Building up balance of money in bank account,Less than 3 months,"above ₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/07/02 7:09:58 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A city ( 100 000 people to about 1 000 000 people),Married,3,4,Your partner,No,I consider several products from different companies before making decision,TV/Radio advertisements,3,4,,2,2,2,3,2,Don't know,Prefer not to say,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"₹50,000-₹1,00,000 monthly",Rental income,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 7:46:22 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,0,4,You,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,5,5,1,1,1,1,5,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"₹10,000-₹50,000 monthly",Not applicable,Don't know,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 7:55:42 PM GMT+5:30,Male,40-49,Graduation,In paid employment(Private/Corporate sector),"A small town ( 3000 to 15,000 people)",Married,,,You and your partner,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,5,5,3,5,5,3,5,No,others,Have not been actively saving,Prefer not to say,"₹10,000-₹50,000 monthly",Rental income,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF);Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 7:58:42 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,0,3,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,4,2,1,5,3,3,3,No,,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",Drinking,"₹ 10,200.00"
2019/07/02 8:00:21 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Single,1,2,Another member of family or[family members],No,I consider several products from different companies before making decision,Product specific information found on the net,1,3,4,1,3,3,4,4,Don't know,Prefer not to say,Prefer not to say,Don't know,"₹50,000-₹1,00,000 monthly",Parental support,Yes,Employee Provident Fund (EPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 8:08:38 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,2,Another member of family or[family members],No,I consider several products from different companies before making decision,My own previous experience,2,4,3,1,3,1,3,2,Yes,Creating resources by working overtime,Giving money to family on your behalf,Less than a month,"₹10,000-₹50,000 monthly",Rental income,No,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 8:11:30 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,One,4,You and your partner,Don't know,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,5,1,1,4,1,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 8:15:15 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,2,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,2,4,2,2,5,5,2,Yes,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"₹10,000-₹50,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 8:27:06 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,2,1,You,Yes,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,5,5,1,3,1,2,2,No,others,Prefer not to say,Prefer not to say,"above ₹1,00,000 monthly",Not applicable,Don't know,Employee Provident Fund (EPF);Others,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/07/02 8:35:55 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,,,You,No,I don't compare any products at all,General advice from friends/relatives/employers,1,1,1,1,1,5,1,5,No,Creating resources by working overtime,Giving money to family on your behalf,Less than a month,"₹10,000-₹50,000 monthly",Parental support,No,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,Don't know
2019/07/02 8:36:32 PM GMT+5:30,Female,30-39,Graduation,Homemaker,A large city ( with over  1000 000 people),Married,1,3,You and your partner,No,I consider several products from different companies before making decision,My own previous experience,1,4,3,2,3,3,4,3,Yes,Borrowing money from known contacts/resources,Saving cash at home,Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,Others,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 8:47:18 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,3,2,3,5,No,,Building up balance of money in bank account,Less than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 8:54:31 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,Nil,3,You and another family member,No,I consider several products from different companies before making decision,Product specific information found on the net,1,4,5,1,1,1,2,1,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/07/02 9:16:52 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A large city ( with over  1000 000 people),Married,One,,Your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,3,1,1,3,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"₹50,000-₹1,00,000 monthly",Not applicable,Prefer not to answer,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),A means to make ends meet,None of the above,"₹ 10,200.00"
2019/07/02 9:28:14 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A city ( 100 000 people to about 1 000 000 people),Married,1,1,Your partner,No,I consider several products from different companies before making decision,Information picked up at any bank branch,5,5,5,5,3,3,3,5,Yes,New line of credit like taking out personal loan/payday loan,Building up balance of money in bank account,Less than a week,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Old Pension Scheme ( Pre 2004),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,220.00"
2019/07/02 9:31:23 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Prefer not to answer,Don't know,Product specific information found on the net,1,4,5,1,2,1,2,3,No,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Don't know,"₹10,000-₹50,000 monthly",Rental income,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 9:32:58 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),"A small town ( 3000 to 15,000 people)",Married,,,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,3,,,,,,,Prefer not to say,New line of credit like taking out personal loan/payday loan,Giving money to family on your behalf,Don't know,"₹50,000-₹1,00,000 monthly",Parental support,No,New National Pension Scheme (NPS),"Source of privilege, luxury, power and prestige",None of the above,Don't know
2019/07/02 9:37:51 PM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,No,1,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,3,3,1,2,2,2,2,No,Creating resources by working overtime,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"upto ₹10,000 monthly",Side business,No,Others,Does not consider it important,Others,Don't know
2019/07/02 9:41:30 PM GMT+5:30,Female,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,3,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,3,1,4,2,2,4,No,others,Have not been actively saving,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 9:49:25 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,5,5,1,1,1,1,4,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF);Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 9:54:19 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,5,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,5,2,4,3,4,5,5,4,Not applicable,Prefer not to say,Giving money to family on your behalf,Prefer not to say,"above ₹1,00,000 monthly",Parental support,Yes,None,A responsibility for coming generations,Drinking;Smoking,"₹ 10,200.00"
2019/07/02 10:28:04 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,No,2,You and your partner,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,5,1,2,2,1,5,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 10:33:04 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,2,2,You and another family member,No,I consider several products from different companies before making decision,Product specific information found on the net,2,1,1,2,2,2,3,2,Prefer not to say,New line of credit like taking out personal loan/payday loan,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Working spouse,Yes,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 10:33:28 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),"A small town ( 3000 to 15,000 people)",Married,0,8,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,2,3,1,1,2,2,2,Prefer not to say,Borrowing money from known contacts/resources,Building up balance of money in bank account,Don't know,"above ₹1,00,000 monthly",Rental income,Yes,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 10:54:51 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,3,3,1,3,1,2,2,No,Prefer not to say,Saving an informal savings club,Less than 3 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),A means to make ends meet,Drinking,"₹ 10,200.00"
2019/07/02 10:59:55 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,3,7,You and another family member,Don't know,I consider several products from different companies before making decision,Product specific information found on the net,1,5,1,1,3,3,4,1,No,others,Have not been actively saving,Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/07/02 11:00:02 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A city ( 100 000 people to about 1 000 000 people),Married,None,3,You,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,4,3,4,4,3,4,3,5,Prefer not to say,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"above ₹1,00,000 monthly",Not applicable,Yes,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,220.00"
2019/07/02 11:05:03 PM GMT+5:30,Male,30-39,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,3,6,You and your partner,No,I don't compare any products at all,General advice from friends/relatives/employers,1,3,2,1,2,2,2,1,No,,Saving cash at home,Prefer not to say,"above ₹1,00,000 monthly",Parental support,Don't know,None,A responsibility for coming generations,Drinking;Gambling,"₹ 10,200.00"
2019/07/02 11:13:00 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,1,3,Prefer not to answer,Prefer not to answer,I consider several products from the same company,Financial pages of newspaper/magazines,1,5,4,1,2,1,3,3,No,,Prefer not to say,Don't know,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 11:18:37 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,5,1,2,2,2,3,No,Borrowing money from known contacts/resources,Giving money to family on your behalf,Less than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/02 11:38:02 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None,1,You,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,2,3,3,1,1,1,1,2,Yes,Existing resources like FDs or selling something you own,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/02 11:38:36 PM GMT+5:30,Female,40-49,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,5,You and your partner,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,5,3,1,3,2,2,2,No,,Building up balance of money in bank account,More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 12:01:03 AM GMT+5:30,Male,20-29,Graduation,Looking for job,A city ( 100 000 people to about 1 000 000 people),Single,No one,,Another member of family or[family members],Don't know,I consider several products from the same company,Financial pages of newspaper/magazines,3,3,2,1,2,2,1,4,Not applicable,Don't know,Building up balance of money in bank account,Less than 3 months,"₹10,000-₹50,000 monthly",Parental support,Yes,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 12:04:06 AM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,None,1,You and your partner,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,4,5,1,3,1,2,2,No,,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
